revision;heuristics;collectionMaxSize_200000 * minImprovement_10 * numSamples_1000;collectionMaxSize_200000 * minImprovement_15 * numSamples_1000;collectionMaxSize_10000000 * minImprovement_10 * numSamples_1000;collectionMaxSize_10000000 * minImprovement_15 * numSamples_1000;collectionMaxSize_200000 * minImprovement_10 * numSamples_10000;collectionMaxSize_200000 * minImprovement_15 * numSamples_10000;collectionMaxSize_10000000 * minImprovement_10 * numSamples_10000;collectionMaxSize_10000000 * minImprovement_15 * numSamples_10000;collectionMaxSize_200000 * numSamples_1000;collectionMaxSize_200000 * numSamples_10000;collectionMaxSize_10000000 * numSamples_1000;collectionMaxSize_10000000 * numSamples_10000;minImprovement_10 * numSamples_1000;minImprovement_15 * numSamples_1000;minImprovement_10 * numSamples_10000;minImprovement_15 * numSamples_10000;hmLM * noOrders;RHWLM * noOrders;noOrders * zhuGivanLM;collectionMaxSize_200000 * minImprovement_10;collectionMaxSize_200000 * minImprovement_15;collectionMaxSize_10000000 * minImprovement_10;collectionMaxSize_10000000 * minImprovement_15;hmLM * onlyCausalLMs;RHWLM * onlyCausalLMs;onlyCausalLMs * zhuGivanLM;fPreserving;landmarkFactoryArguments;hmLM;RHWLM;zhuGivanLM;numSamples_1000;numSamples_10000;blind;max;iPDB;canonicalPDB;landmarkCut;minImprovement_10;minImprovement_15;error
2016.07_opt;512.49526666667;-39.2082044444449;-52.711115555554;-53.0475755555544;-66.3177577777767;-0.61600444444403;-0.722257777776349;-183.854908888889;-184.305019999998;52.3044666666683;200.139844444445;66.0019555555559;390.277266666668;61.3710725925949;3.39886148148233;69.06093925926;69.1629459259266;9.26468750000331;57.4152562500025;-3.26724999999847;0.173182222224071;0.231746666667404;0.219020000001337;0.244708888889942;0.690337500003288;-2.28972124999796;0.169500000002462;2395.34502962964;656.709733333342;-245.085993750007;-1074.96742062501;-122.292000000007;1.73982962963069;87.8772962962976;1383.57073333334;-424.452186666665;-367.989029629637;336.491933333337;-511.121554666664;-69.0521170370359;-69.0805237037025;3.51010057323111
2017.01_opt;514.25555555556;-42.3335200000003;-57.6400288888873;-53.6168111111098;-69.3975822222211;0.37705777777829;0.818742222223776;-185.405011111111;-184.92954222222;58.3082000000017;204.013177777779;69.9621555555558;398.495133333334;65.637540740743;4.18235407407484;70.3441407407413;70.1978162962969;10.1177750000034;60.9569687500026;-6.09512499999855;-0.0517244444426572;-0.279364444443737;-0.0918111111098276;-0.208546666665623;0.99585000000342;-2.62496374999789;2.62437500000237;2409.90051851853;709.344756944453;-250.211175000007;-1122.60608687501;-117.417875000007;0.556592592593673;91.2966592592606;1389.04244444445;-433.968135555554;-367.069348148156;341.542244444448;-512.810645555553;-71.136785185184;-71.0478162962951;3.61638411927342
2017.07_opt;515.847844444449;-44.3694444444448;-61.7975488888873;-56.5410155555543;-73.3249999999988;-1.14246666666621;-1.67189111110955;-187.201215555555;-185.960968888887;61.5229555555573;222.312333333334;73.0459555555558;417.802733333334;74.0411955555579;5.45312444444518;79.1638844444451;79.1816044444451;8.95228750000344;61.6450175000026;-2.89649999999862;0.436066666668522;0.306024444445157;0.444860000001314;0.378368888889896;-2.01058749999653;-1.63206749999791;0.358000000002562;2413.61052592594;719.368093055564;-252.945031250007;-1134.51307125001;-123.143937500007;-1.65022222222115;94.9544000000013;1384.63415555556;-426.988724444443;-359.838511111119;338.876555555559;-514.426916444442;-78.9204622222211;-78.9106044444433;3.48444148531909
2018.01_opt;481.900933333337;-41.6541933333338;-56.1538599999984;-54.82567111111;-69.62911111111;-0.738948888888473;-0.700848888887364;-180.203115555555;-180.836344444443;55.9690666666684;208.99468888889;69.3027777777781;396.644155555557;58.725643703706;1.48694370370449;66.5826659259266;66.6452348148154;7.53513750000331;55.3887350000025;-4.62374999999852;0.277348888890729;0.269115555556261;0.3421377777791;0.319388888889912;-1.1965874999968;-2.14736749999795;1.7267500000023;2386.18240000001;677.726754166675;-243.622981250007;-1067.41242625001;-127.809062500007;5.2595851851862;89.9302962962976;1286.84706666667;-404.301693333332;-345.552518518526;313.00546666667;-480.559425333331;-66.3911325925915;-66.3310792592581;3.53195211533203
2018.07_opt;395.184933333336;-29.1034022222225;-41.6154866666649;-37.9206111111101;-50.3321866666657;0.461842222222874;0.141328888890495;-93.2700999999997;-93.3120088888874;41.6148222222236;84.6957333333342;50.318755555556;179.818755555556;61.548260740743;6.3733140740751;70.4369940740751;70.7494229629638;4.19886250000303;44.1334000000023;-4.12161249999835;0.106624444446061;0.130737777778309;0.17732222222343;0.164720000000886;0.209887500003035;-2.49587749999806;0.819462500002424;2363.89284444446;511.425160416675;-198.115562500006;-828.652442500007;-123.320562500006;-0.183207407406586;34.5652592592605;884.27306666667;-318.628893333331;-263.073792592599;199.67606666667;-393.85906533333;-70.6977940740731;-70.7434674074063;3.66369613185468
2019.01_opt;394.24206666667;-30.8704933333346;-41.1626311111092;-41.2786977777772;-51.1683755555547;-0.0365377777776672;-0.077526666664852;-93.1686533333334;-92.8278777777762;40.8351111111127;82.5810888888898;50.7876666666672;178.088022222223;55.5030600000028;5.16334000000089;63.4744822222235;63.3053111111117;-5.27967499999684;2.60484750000227;-5.13897499999848;0.359448888890982;0.138948888889137;0.329008888890333;0.12534444444528;-0.583924999996812;-2.6395324999981;-0.820624999997684;2357.00222962964;711.204327083342;-261.927681250007;-1019.26999500001;-204.708293750007;0.412777777778349;34.5019555555566;889.069933333336;-325.139826666665;-269.178777777784;199.328133333337;-392.877470666664;-63.2749044444437;-63.0781555555545;4.04222964245907
2019.06_opt;396.157644444447;-11.7095888888897;-13.9752066666649;-15.4949866666661;-17.8080688888881;-0.0196822222216486;0.00717111111258362;-56.5456577777776;-56.5936555555544;13.697806666668;24.7863666666677;17.4338711111118;82.1628422222233;5.88195333333586;0.830995555556671;6.258497777779;6.32770444444527;-6.16941249999688;2.5862862500024;-3.83027499999833;0.114213333335177;0.12116000000042;0.180902222223549;0.200186666667676;-1.45908749999667;-1.846901249998;1.62470000000244;2376.91035555557;613.256655555564;-226.115393750006;-927.192826875007;-153.508925000006;0.515402222223;10.6180844444458;893.190355555558;-327.176504444442;-345.686517777784;204.421755555559;-394.801582444442;-6.3686733333323;-6.31975999999881;4.19077377356332
2019.12_opt;394.373533333336;-11.4242200000008;-13.7306511111093;-15.2282133333328;-17.448317777777;0.122004444445041;0.093460000001496;-56.3718822222221;-56.1788088888877;13.8223444444458;25.0915222222232;17.5531488888896;82.3166977777789;6.25658666666919;1.13232888889;6.52994444444566;6.59128222222305;-5.77093749999688;2.6085375000024;-4.89148749999832;-0.104364444442614;-0.119948888888468;-0.0343244444431272;-0.0895022222212175;0.424662500003304;-1.75537749999799;-0.289087499997457;2380.91942962964;612.644822916675;-228.063250000006;-925.074115000007;-148.607950000006;0.0559244444452214;10.1306288888902;888.976466666669;-325.330653333331;-343.705846666673;201.26986666667;-393.03810733333;-6.58916666666563;-6.58921555555436;4.17321537610133
2020.06_opt;393.533266666669;-11.3395111111119;-13.819657777776;-15.2629622222217;-17.8647466666659;-0.438528888888328;-0.465068888887425;-56.6950066666665;-56.731622222221;13.5095155555569;25.1700133333343;17.4240466666673;81.4783155555566;5.29646962963216;1.04560074074186;6.09456740740864;6.10899629629714;-8.7615374999969;2.43265625000239;-4.27048749999835;0.439660000001834;0.427404444444869;0.430580000001317;0.485273333334336;-0.313312499996714;-1.77557124999799;-0.38978749999754;2371.35784444446;609.456064583341;-221.648762500006;-921.302265625007;-148.034537500006;0.186999259260028;10.3694525925939;884.952733333336;-324.417046666664;-343.24084370371;204.918133333337;-392.186424666664;-6.07207185185082;-6.10596740740622;4.27643923217366
