revision;tcp;lzo;auth_sha1;auth_sha512;auth_rsa_sha512;auth_sha1 * lzo;auth_sha512 * lzo;auth_rsa_sha512 * lzo;prng_rsa_sha512;prng_sha512;prng_sha1;TCP_NODEAL;AES_128_CBC;error
2.1.0;845.675571978522;-312.711011015625;-141.755625890625;-248.29468315625;-245.778651;76.7693060937494;145.683862734374;142.612093281252;14.4704436484368;13.956327304687;23.4431093984385;-14.8193288164068;11.5833603085937;1.5446553134641
2.1.2;841.571660882818;-313.424847703125;-144.42711734375;-248.881218125;-250.972227609375;79.0766553437494;145.245037437499;147.723002312502;14.2650181249993;13.0298328984371;22.6438715078135;-13.1113626562506;14.3783830937499;1.54826361862096
2.1.4;841.587472707037;-317.653443078125;-146.26031184375;-251.705438609375;-249.6755479375;80.0427238437495;148.434937874999;146.272473062502;13.5124714609368;16.012253023437;22.296429359376;-14.5254612812506;12.6171278828125;1.4942850121374
2.2.0;838.446628359381;-310.8061493125;-140.260015578125;-245.623255625;-247.1260455625;74.3670210937495;141.946531906249;141.917789968752;12.3390924609368;11.5591965156245;20.8823268671885;-11.6188282187505;15.1051935468749;1.5020099890744
2.2.1;837.648595587897;-319.1322893125;-144.4952515;-245.7975795;-247.879758453125;81.3384528281244;144.388612531249;146.283115843752;15.0714841953118;15.5373823437495;21.018839296876;-11.5112850195318;13.1717338007812;1.55450507034431
2.2.2;839.899049751959;-319.988300453125;-148.314538234375;-251.99524671875;-250.80344475;84.6603488906244;150.686272609374;149.461560203127;12.5843259921869;11.829793257812;21.1381039921885;-12.8919918476568;14.8527499726561;1.50135368118904
2.3.0;671.769738291021;-207.59209728125;-147.82000109375;-202.813352578125;-205.043298078125;89.6412992812495;111.32376453125;112.516242859376;13.2014093515619;11.9528809531246;19.5610900000008;-13.7081699179692;8.70813640234368;2.04494917830897
2.3.18;705.649185007818;-242.184820671875;-171.079554828125;-231.1379746875;-231.022987734375;116.72521775;140.54013703125;140.922206625002;12.9391574374995;13.1778923046871;22.3533750234384;-10.266162148438;9.37818115624975;1.84878269882656
2.3.9;712.440730730474;-252.48562871875;-168.705079578125;-232.177694296875;-233.455901046875;112.194684515625;141.089595296875;141.401552687502;13.075491085937;12.1857962265621;21.3590624531259;-8.45621336718798;11.2796158671875;2.12785001079318
2.4.0;619.570919917973;-187.398272875;-120.7608138125;-165.25339971875;-162.024065109375;69.9717507499996;89.2021083749996;85.2972059062512;9.9374341640619;10.5270486953121;19.4851114531257;-5.61756311718788;7.77350434374999;2.07519902743932
2.4.3;619.395319892583;-182.98889859375;-118.32845009375;-162.942209640625;-163.5160215625;62.5870312812496;82.2200892187496;83.9571632343761;10.1761048749994;9.67868960156211;17.5157740312507;-6.56779417578159;9.03413732421866;2.02031610283655
2.4.6;621.234203880864;-185.31574925;-120.10377665625;-164.63364309375;-163.928818359375;67.7074627343746;87.6601717656246;84.7413328281262;10.4393589140619;11.8869328359371;18.4151329296882;-7.16736124609415;7.67786805078116;2.12607185997498
