revision;sharedBuffers;fsync;trackActivities;error
8.3.0;56304.894675926;59736.349537037;912.654166666559;1.07326951677346
8.3.5;57672.1175925927;59671.3111111111;938.483333333221;1.7206165333019
8.4.0;68798.8671296298;58587.6685185185;723.758333333199;1.30422772759343
8.4.2;68788.8291666668;57957.362037037;256.057407407277;1.42325621109913
9.0.0;69760.3490740742;59026.6564814815;863.808333333203;1.34088068677448
9.0.4;69660.3432870373;1016.41620370362;627.774537036934;0.671184672566227
9.1.0;60000.0620370373;1201.21111111105;885.936111111021;1.1965761562235
9.1.3;61088.8576388892;124.567129629557;485.944907407311;1.37175338208251
9.2.0;69143.7567129633;1130.08935185177;178.903240740639;1.13002967477537
9.2.4;68738.1905092595;1238.73472222214;433.232870370263;1.09580284802014
9.3.0;62666.2733796299;816.5189814814;1957.58101851843;1.21019413496537
9.3.4;62089.1884259262;525.830555555476;1638.49444444435;1.22216635904283
9.4.0;61039.4962962966;1390.08425925918;1906.99166666658;1.29241880381527
9.4.4;61799.466203704;1770.19629629621;2363.52685185176;1.55621285830098
9.5.0;61810.3476851854;1580.83425925918;1969.92037037027;1.25141872432127
9.5.3;62627.052777778;811.087962962883;1974.99814814806;1.89827388779644
9.6.0;63145.8347222225;812.796296296219;1883.67962962954;1.88892422584998
9.6.3;63075.0321759262;1794.23564814807;2308.42824074065;2.53501475061237
10.0;64700.5773148151;587.199074073978;1761.47685185176;2.12810916025069
10.4;63750.9932870373;1149.05509259253;1914.83472222213;1.86038619087809
11.0;62816.0039351855;695.715277777697;1591.74212962953;1.42986228812947
11.2;63040.5337962966;983.70092592583;1377.0962962962;2.02297269077002
