,Revision,Changes,Level,Type
0,1,0.390625,Configurations,Changed
1,1,100.0,Configurations,Stable
2,1,0.0,Terms,Changed
3,1,100.0,Terms,Stable
4,2,0.78125,Configurations,Changed
5,2,100.0,Configurations,Stable
6,2,0.0,Terms,Changed
7,2,100.0,Terms,Stable
8,3,0.1953125,Configurations,Changed
9,3,0.0,Terms,Changed
10,3,100.0,Terms,Stable
11,4,0.1953125,Configurations,Changed
12,4,0.0,Terms,Changed
13,4,100.0,Terms,Stable
14,5,0.0,Configurations,Changed
15,5,0.0,Terms,Changed
16,5,100.0,Terms,Stable
17,6,82.6171875,Configurations,Changed
18,6,91.93304426741958,Configurations,Stable
19,6,30.76923076923077,Terms,Changed
20,6,83.33333333333334,Terms,Stable
21,7,2.34375,Configurations,Changed
22,7,86.36363636363636,Configurations,Stable
23,7,0.0,Terms,Changed
24,7,100.0,Terms,Stable
25,8,0.78125,Configurations,Changed
26,8,83.33333333333334,Configurations,Stable
27,8,0.0,Terms,Changed
28,8,100.0,Terms,Stable
29,9,17.1875,Configurations,Changed
30,9,91.30094043887146,Configurations,Stable
31,9,53.84615384615385,Terms,Changed
32,9,90.47619047619048,Terms,Stable
33,10,0.1953125,Configurations,Changed
34,10,0.0,Terms,Changed
35,10,100.0,Terms,Stable
36,11,0.78125,Configurations,Changed
37,11,83.33333333333334,Configurations,Stable
38,11,0.0,Terms,Changed
39,11,100.0,Terms,Stable
